# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 

# Xmagn [mT]; Ymagn [mT]; Zmagn [mT];
 0.70;   44.415000;    1.058300;  -11.316000
 1.40;   44.432000;    1.056100;  -11.312000
 2.10;   44.436000;    1.059100;  -11.315000
 2.80;   44.430000;    1.037800;  -11.321000
 3.50;   44.431000;    1.053800;  -11.314000
 4.20;   44.425000;    1.029900;  -11.313000
 4.90;   44.425000;    1.046400;  -11.314000
 5.60;   44.429000;    1.049000;  -11.308000
 6.30;   44.421000;    1.057200;  -11.316000
 7.01;   44.435000;    1.044500;  -11.322000
 7.71;   44.423000;    1.040800;  -11.323000
 8.41;   44.435000;    1.046000;  -11.307000
 9.11;   44.417000;    0.970570;  -11.323000
 9.81;   44.427000;    1.035200;  -11.312000
10.51;   44.432000;    1.062400;  -11.307000
