# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
# sensor pos #2: 35 mm
# sensor pos #3: 45 mm
# sensor pos #4: 55 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0; -100.170000;   -7.865300;   57.382000;  -82.351000;   -2.888900;   63.784000;  -80.292000;   -0.567110;   66.086000;  -66.428000;    0.626290;   67.780000
  1.2;  -54.261000;    0.985130;   69.537000;  -65.130000;   -0.126120;   68.530000;  -67.265000;   -2.434100;   66.620000;  -87.459000;   -7.177500;   61.207000
  2.4;  -73.545000;   -6.489300;   63.860000;  -55.960000;   -2.038300;   68.249000;  -54.862000;    0.209940;   69.936000;  -48.506000;    1.191200;   70.560000
  3.6;  -48.984000;    1.391800;   71.605000;  -50.931000;    0.542650;   70.916000;  -50.520000;   -1.578700;   69.378000;  -62.263000;   -5.865700;   65.507000
  4.8;  -56.492000;   -5.210400;   66.540000;  -50.797000;   -1.231000;   70.550000;  -52.575000;    0.731960;   72.141000;  -53.036000;    1.562800;   73.318000
  6.0;  -56.910000;    1.763300;   75.912000;  -56.553000;    1.021300;   74.166000;  -54.023000;   -0.868820;   72.377000;  -55.790000;   -4.583800;   67.618000
  7.2;  -57.757000;   -3.986400;   69.190000;  -56.908000;   -0.529770;   74.893000;  -59.495000;    1.332800;   76.932000;  -57.083000;    2.045600;   79.118000
  8.4;  -50.297000;    2.385000;   82.486000;  -58.070000;    1.737900;   80.250000;  -56.255000;   -0.209390;   78.035000;  -59.673000;   -3.338900;   71.496000
  9.6;  -58.543000;   -2.571200;   74.358000;  -48.982000;    0.232350;   81.279000;  -49.024000;    2.164000;   83.425000;  -34.888000;    2.791300;   85.284000
 10.8;  -15.316000;    3.185600;   86.604000;  -32.427000;    2.648300;   85.503000;  -34.197000;    0.687530;   83.628000;  -51.538000;   -1.714600;   77.211000
 12.0;  -38.200000;   -0.908780;   79.163000;  -16.409000;    1.188600;   84.615000;  -14.130000;    3.064600;   86.093000;    1.449200;    3.539200;   86.330000
 13.2;   10.898000;    3.765900;   85.025000;    0.357310;    3.418600;   85.321000;   -1.206700;    1.655400;   84.296000;  -22.039000;   -0.110060;   79.926000
 14.4;   -7.301300;    0.699470;   79.539000;    7.899000;    2.093000;   82.969000;    7.836000;    3.665100;   83.828000;   12.595000;    3.845400;   83.363000
 15.6;    8.986600;    3.953300;   82.151000;    8.139900;    3.882400;   82.238000;    9.831100;    2.475800;   81.403000;    2.206800;    1.489200;   78.330000
 16.8;    5.145700;    2.177000;   76.842000;    7.169300;    2.812900;   80.399000;    4.577500;    4.073600;   81.373000;    4.850200;    4.081800;   81.863000
 18.0;    4.832300;    4.256900;   82.310000;    1.748700;    4.316600;   81.352000;    4.264500;    3.121000;   80.183000;    3.970600;    2.864800;   75.871000
 19.2;    2.296600;    3.531000;   75.500000;    5.032800;    3.417100;   80.543000;    3.558200;    4.591800;   81.806000;   11.996000;    4.456300;   82.831000
 20.4;   27.161000;    4.738200;   82.662000;   12.850000;    4.989900;   82.031000;   12.521000;    3.780400;   80.882000;    3.769700;    4.262500;   75.522000
 21.6;   11.166000;    5.062000;   75.641000;   27.282000;    4.190400;   80.446000;   29.210000;    5.279700;   81.309000;   46.883000;    5.039600;   81.094000
 22.8;   63.814000;    5.245300;   77.934000;   47.945000;    5.595200;   79.036000;   45.388000;    4.586600;   78.612000;   24.938000;    5.860300;   74.973000
