# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 29.99999999999999°
# sensor pos #1: 15 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -42.031000;    6.073100;   52.564000
 30.0;  -80.558000;    7.973000;  -27.966000
 60.0;   42.086000;   -5.031500;  -53.284000
 90.0;   80.760000;   -7.038200;   27.226000
120.0;  -41.744000;    5.926000;   52.511000
150.0;  -80.154000;    8.127600;  -27.653000
180.0;   41.595000;   -5.029300;  -53.116000
210.0;   80.288000;   -7.156200;   26.968000
240.0;  -41.486000;    6.017100;   52.470000
270.0;  -80.042000;    8.058200;  -27.713000
300.0;   41.839000;   -5.016600;  -53.257000
330.0;   80.754000;   -6.989300;   27.375000
360.0;  -41.947000;    6.084700;   52.646000
