# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 40 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   -5.818400;    3.326400;   12.925000
  1.2;   -7.221800;    3.538500;   12.929000
  2.4;   -8.491800;    3.680000;   12.883000
  3.6;   -9.691500;    3.820000;   12.783000
  4.8;  -10.893000;    3.935400;   12.643000
  6.0;  -12.091000;    4.062400;   12.446000
  7.2;  -13.230000;    4.165000;   12.182000
  8.4;  -14.284000;    4.246800;   11.864000
  9.6;  -15.274000;    4.324500;   11.521000
 10.8;  -16.198000;    4.401800;   11.119000
 12.0;  -17.101000;    4.456300;   10.653000
 13.2;  -17.927000;    4.501500;   10.142000
 14.4;  -18.670000;    4.534300;    9.599000
 15.6;  -19.295000;    4.550400;    9.035400
 16.8;  -19.889000;    4.559400;    8.419000
 18.0;  -20.406000;    4.548900;    7.742000
 19.2;  -20.833000;    4.538100;    7.024700
 20.4;  -21.174000;    4.513400;    6.276800
 21.6;  -21.417000;    4.481700;    5.535100
 22.8;  -21.590000;    4.414800;    4.757200
 24.0;  -21.661000;    4.360000;    3.925400
 25.2;  -21.666000;    4.265500;    3.075500
 26.4;  -21.582000;    4.182200;    2.233300
 27.6;  -21.402000;    4.065000;    1.399600
 28.8;  -21.164000;    3.898400;    0.535240
 30.0;  -20.823000;    3.819300;   -0.321720
 31.2;  -20.398000;    3.666500;   -1.197500
 32.4;  -19.895000;    3.506400;   -2.073000
 33.6;  -19.337000;    3.326400;   -2.894800
 34.8;  -18.695000;    3.144900;   -3.720000
 36.0;  -17.928000;    2.947700;   -4.542600
 37.2;  -17.123000;    2.746800;   -5.359300
 38.4;  -16.262000;    2.522400;   -6.119100
 39.6;  -15.363000;    2.297600;   -6.840000
 40.8;  -14.385000;    2.057500;   -7.551400
 42.0;  -13.312000;    1.826000;   -8.244700
 43.2;  -12.218000;    1.543700;   -8.905100
 44.4;  -11.053000;    1.319700;   -9.513300
 45.6;   -9.910700;    1.066200;  -10.061000
 46.8;   -8.693800;    0.815600;  -10.587000
 48.0;   -7.406200;    0.568410;  -11.093000
 49.2;   -6.112300;    0.304040;  -11.532000
 50.4;   -4.793500;    0.057220;  -11.935000
 51.6;   -3.502600;   -0.180260;  -12.293000
 52.8;   -2.157500;   -0.416630;  -12.625000
 54.0;   -0.787360;   -0.635070;  -12.894000
 55.2;    0.599220;   -0.860980;  -13.139000
 56.4;    1.961600;   -1.070800;  -13.315000
 57.6;    3.279300;   -1.296700;  -13.456000
 58.8;    4.610900;   -1.450600;  -13.564000
 60.0;    5.954200;   -1.619700;  -13.607000
 61.2;    7.286600;   -1.765400;  -13.610000
 62.4;    8.569400;   -1.925200;  -13.557000
 63.6;    9.776100;   -2.061800;  -13.463000
 64.8;   10.970000;   -2.185800;  -13.323000
 66.0;   12.154000;   -2.308700;  -13.111000
 67.2;   13.290000;   -2.413200;  -12.860000
 68.4;   14.353000;   -2.509900;  -12.548000
