# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   -4.378300;    0.190530;  -11.041000
  1.2;   -3.216400;   -0.117910;  -11.347000
  2.4;   -2.002800;   -0.430070;  -11.637000
  3.6;   -0.784800;   -0.738130;  -11.889000
  4.8;    0.426950;   -1.027900;  -12.093000
  6.0;    1.612300;   -1.319100;  -12.246000
  7.2;    2.795100;   -1.565600;  -12.367000
  8.4;    4.009800;   -1.847500;  -12.458000
  9.6;    5.225600;   -2.077900;  -12.487000
 10.8;    6.374300;   -2.304200;  -12.459000
 12.0;    7.495900;   -2.533100;  -12.401000
 13.2;    8.584100;   -2.728700;  -12.300000
 14.4;    9.678900;   -2.909500;  -12.150000
 15.6;   10.740000;   -3.097700;  -11.949000
 16.8;   11.722000;   -3.257500;  -11.692000
 18.0;   12.660000;   -3.392300;  -11.397000
 19.2;   13.549000;   -3.518100;  -11.068000
 20.4;   14.407000;   -3.632000;  -10.698000
 21.6;   15.218000;   -3.724600;  -10.246000
 22.8;   15.941000;   -3.800800;   -9.777200
 24.0;   16.574000;   -3.847800;   -9.287500
 25.2;   17.147000;   -3.894100;   -8.747300
 26.4;   17.688000;   -3.904600;   -8.177400
 27.6;   18.159000;   -3.918800;   -7.547300
 28.8;   18.532000;   -3.907600;   -6.904700
 30.0;   18.839000;   -3.877300;   -6.266100
 31.2;   19.049000;   -3.821300;   -5.558100
 32.4;   19.222000;   -3.754100;   -4.847800
 33.6;   19.288000;   -3.683200;   -4.079600
 34.8;   19.303000;   -3.599200;   -3.332700
 36.0;   19.224000;   -3.475900;   -2.578900
 37.2;   19.077000;   -3.354600;   -1.819800
 38.4;   18.844000;   -3.212700;   -1.017600
 39.6;   18.525000;   -3.025200;   -0.210860
 40.8;   18.153000;   -2.862400;    0.562220
 42.0;   17.728000;   -2.658200;    1.334600
 43.2;   17.214000;   -2.447200;    2.088800
 44.4;   16.618000;   -2.204100;    2.882900
 45.6;   15.938000;   -1.966300;    3.640500
 46.8;   15.254000;   -1.702300;    4.376600
 48.0;   14.477000;   -1.450600;    5.077600
 49.2;   13.660000;   -1.173900;    5.744600
 50.4;   12.755000;   -0.875920;    6.419800
 51.6;   11.804000;   -0.568980;    7.052500
 52.8;   10.829000;   -0.256070;    7.639700
 54.0;    9.823700;    0.032949;    8.188100
 55.2;    8.768800;    0.359300;    8.716500
 56.4;    7.663700;    0.665120;    9.203200
 57.6;    6.518300;    0.987740;    9.663700
 58.8;    5.367800;    1.300700;   10.076000
 60.0;    4.238100;    1.600100;   10.442000
 61.2;    3.054600;    1.908200;   10.769000
 62.4;    1.839200;    2.197600;   11.065000
 63.6;    0.612050;    2.478700;   11.317000
 64.8;   -0.598600;    2.771500;   11.517000
 66.0;   -1.775200;    3.022400;   11.688000
 67.2;   -2.977700;    3.284600;   11.813000
 68.4;   -4.178500;    3.513100;   11.885000
 69.6;   -5.378900;    3.768100;   11.925000
 70.8;   -6.535300;    4.019400;   11.899000
 72.0;   -7.628300;    4.204600;   11.840000
 73.2;   -8.721700;    4.401400;   11.739000
 74.4;   -9.806200;    4.591800;   11.577000
 75.6;  -10.852000;    4.775600;   11.362000
 76.8;  -11.848000;    4.939900;   11.111000
 78.0;  -12.767000;    5.082100;   10.834000
 79.2;  -13.649000;    5.202400;   10.504000
 80.4;  -14.490000;    5.315900;   10.103000
 81.6;  -15.286000;    5.423000;    9.675100
 82.8;  -16.008000;    5.504800;    9.192100
 84.0;  -16.642000;    5.561600;    8.716900
 85.2;  -17.221000;    5.611600;    8.175900
 86.4;  -17.760000;    5.646300;    7.584200
 87.6;  -18.193000;    5.662400;    6.956400
 88.8;  -18.571000;    5.668700;    6.306700
 90.0;  -18.866000;    5.655300;    5.659700
 91.2;  -19.096000;    5.613900;    4.968200
 92.4;  -19.243000;    5.567600;    4.235100
 93.6;  -19.327000;    5.500300;    3.483400
 94.8;  -19.312000;    5.427500;    2.719600
 96.0;  -19.250000;    5.300600;    1.970200
 97.2;  -19.109000;    5.180000;    1.203700
