# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;  -36.291000;   10.501000;   35.044000;  -45.325000;    1.842800;   40.148000;  -52.522000;   -4.006900;   35.573000
  2.4;  -59.121000;   -4.901200;   31.046000;  -52.230000;    1.521700;   35.881000;  -42.798000;   11.990000;   32.016000
  4.8;  -48.808000;   13.299000;   28.492000;  -58.349000;    1.158000;   31.060000;  -64.318000;   -5.661500;   26.035000
  7.2;  -68.004000;   -6.376500;   20.317000;  -63.441000;    0.730090;   25.430000;  -54.465000;   14.433000;   24.271000
  9.6;  -58.793000;   15.313000;   19.643000;  -66.747000;    0.376850;   19.471000;  -70.038000;   -6.932200;   14.522000
 12.0;  -70.960000;   -7.364600;    8.603400;  -68.659000;    0.045645;   13.246000;  -61.839000;   15.941000;   14.631000
 14.4;  -63.582000;   16.343000;    9.456300;  -69.544000;   -0.315440;    6.997400;  -71.145000;   -7.676400;    2.735500
 16.8;  -70.754000;   -7.857800;   -3.023100;  -69.677000;   -0.639550;    0.921780;  -64.375000;   16.522000;    4.391800
 19.2;  -64.542000;   16.459000;   -0.784010;  -69.241000;   -0.922220;   -5.372600;  -69.630000;   -7.935500;   -9.020300
 21.6;  -67.507000;   -7.900000;  -14.932000;  -68.102000;   -1.231400;  -11.504000;  -64.120000;   16.164000;   -5.823400
 24.0;  -62.792000;   15.703000;  -11.036000;  -65.836000;   -1.540900;  -17.869000;  -63.847000;   -7.705100;  -20.959000
 26.4;  -58.510000;   -7.400100;  -26.639000;  -62.009000;   -1.797100;  -24.091000;  -60.558000;   14.872000;  -16.194000
 28.8;  -56.996000;   13.895000;  -21.082000;  -56.731000;   -2.017400;  -29.745000;  -52.038000;   -6.942600;  -31.626000
 31.2;  -44.913000;   -6.349300;  -36.078000;  -50.187000;   -2.164900;  -34.934000;  -51.921000;   12.643000;  -25.776000
 33.6;  -46.151000;   11.213000;  -29.776000;  -43.447000;   -2.279200;  -39.269000;  -37.846000;   -5.681600;  -39.789000
 36.0;  -30.097000;   -4.896000;  -43.038000;  -36.346000;   -2.370300;  -43.063000;  -39.914000;    9.565300;  -33.316000
 38.4;  -33.345000;    7.823700;  -36.328000;  -28.659000;   -2.420300;  -46.260000;  -21.499000;   -4.042400;  -45.667000
 40.8;  -12.644000;   -3.128700;  -47.467000;  -20.431000;   -2.417300;  -48.672000;  -26.291000;    5.972300;  -38.788000
 43.2;  -18.349000;    3.984300;  -40.719000;  -11.567000;   -2.351600;  -50.342000;   -3.626900;   -2.126400;  -48.562000
 45.6;    4.936700;   -1.117500;  -48.920000;   -3.060200;   -2.250400;  -51.199000;  -10.342000;    2.013900;  -41.929000
 48.0;   -2.224900;   -0.029036;  -42.449000;    5.504100;   -2.120800;  -51.343000;   13.896000;   -0.078699;  -48.609000
 50.4;   23.026000;    0.980650;  -47.521000;   14.306000;   -1.946800;  -50.758000;    5.766600;   -2.049900;  -42.487000
 52.8;   13.811000;   -3.991600;  -41.841000;   22.973000;   -1.719800;  -49.380000;   31.544000;    2.018700;  -45.665000
 55.2;   39.446000;    3.038900;  -43.042000;   31.456000;   -1.467000;  -47.152000;   22.102000;   -5.934800;  -40.481000
 57.6;   29.644000;   -7.720400;  -38.512000;   38.868000;   -1.168700;  -44.275000;   46.502000;    4.003400;  -39.919000
