# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 4.8°
# sensor pos #1: 0 mm
# sensor pos #2: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]
  0.0;    0.805570;    1.220700;   39.146000;   -2.893400;    3.278600;   49.060000
  4.8;  -20.285000;    3.822300;   47.512000;  -14.235000;    6.145200;   38.411000
  9.6;  -28.929000;   10.796000;   35.105000;  -36.426000;    4.183000;   42.837000
 14.4;  -50.528000;    4.312200;   35.489000;  -41.472000;   14.779000;   29.621000
 19.2;  -52.361000;   17.907000;   22.120000;  -62.177000;    4.159800;   25.468000
 24.0;  -68.054000;    3.818100;   13.633000;  -59.048000;   19.827000;   12.841000
 28.8;  -61.200000;   20.587000;    3.065100;  -69.434000;    3.347700;    1.537100
 33.6;  -68.118000;    2.689700;  -10.599000;  -60.649000;   20.152000;   -6.681500
 38.4;  -56.678000;   18.582000;  -16.506000;  -62.563000;    1.834200;  -22.816000
 43.2;  -51.247000;    0.910820;  -33.573000;  -47.733000;   15.781000;  -25.455000
 48.0;  -36.064000;   11.969000;  -32.338000;  -37.555000;   -0.007379;  -41.679000
 52.8;  -21.944000;   -0.893090;  -47.302000;  -22.909000;    7.470100;  -37.256000
 57.6;   -7.663900;    2.507100;  -39.893000;   -4.576900;   -1.707100;  -49.965000
 62.4;   12.773000;   -2.321000;  -49.651000;    7.580900;   -2.611900;  -40.077000
 67.2;   22.975000;   -7.506500;  -37.853000;   30.072000;   -2.777700;  -46.239000
 72.0;   44.782000;   -2.991200;  -40.002000;   36.397000;  -11.793000;  -33.240000
 76.8;   48.156000;  -15.353000;  -26.570000;   57.910000;   -2.966200;  -31.205000
 81.6;   66.609000;   -2.713800;  -19.865000;   57.026000;  -17.873000;  -17.837000
 86.4;   60.839000;  -19.144000;   -7.989300;   69.609000;   -2.290700;   -7.618300
 91.2;   69.393000;   -1.743300;    4.462000;   61.190000;  -19.238000;    1.796800
 96.0;   58.826000;  -18.199000;   11.536000;   66.070000;   -1.004000;   16.568000
100.8;   57.286000;   -0.153010;   28.088000;   52.074000;  -15.952000;   20.927000
105.6;   41.154000;  -12.583000;   28.733000;   44.219000;    0.714040;   37.351000
110.4;   29.533000;    1.613600;   44.119000;   28.764000;   -8.319400;   34.493000
115.2;   14.218000;   -3.566300;   38.135000;   12.516000;    2.426100;   48.097000
120.0;   -4.477200;    3.133700;   49.010000;   -0.850770;    1.398500;   39.299000
124.8;  -15.960000;    6.309500;   38.142000;  -21.804000;    3.618000;   47.049000
129.6;  -37.623000;    3.979500;   42.050000;  -30.301000;   10.854000;   34.468000
134.4;  -42.415000;   14.751000;   28.696000;  -51.347000;    4.119100;   34.412000
139.2;  -62.309000;    4.030200;   24.235000;  -52.661000;   17.714000;   20.956000
144.0;  -58.477000;   19.530000;   11.667000;  -67.533000;    3.752800;   12.443000
148.8;  -68.527000;    3.335000;    0.533020;  -60.160000;   20.133000;    2.084000
153.6;  -59.124000;   19.643000;   -7.467200;  -66.860000;    2.696800;  -11.348000
158.4;  -60.845000;    1.950000;  -23.228000;  -54.636000;   18.036000;  -17.010000
163.2;  -45.623000;   15.236000;  -25.497000;  -49.554000;    1.066200;  -33.502000
168.0;  -36.054000;    0.169240;  -41.230000;  -34.236000;   11.484000;  -32.030000
172.8;  -21.223000;    7.076100;  -36.632000;  -20.576000;   -0.737760;  -46.516000
177.6;   -3.672300;   -1.520000;  -48.897000;   -6.493100;    2.257300;  -38.964000
182.4;    8.173900;   -2.670100;  -38.969000;   13.191000;   -2.221300;  -48.441000
187.2;   29.852000;   -2.726100;  -44.990000;   22.842000;   -7.340700;  -36.640000
192.0;   35.570000;  -11.483000;  -32.024000;   44.122000;   -3.021500;  -38.795000
196.8;   56.658000;   -3.105900;  -30.154000;   46.596000;  -14.880000;  -25.533000
201.6;   54.828000;  -17.265000;  -17.133000;   64.895000;   -2.941200;  -19.220000
206.4;   67.839000;   -2.576400;   -7.382500;   58.530000;  -18.435000;   -7.711400
211.2;   58.901000;  -18.500000;    1.703700;   67.640000;   -2.027500;    4.345600
216.0;   64.325000;   -1.274700;   16.082000;   56.583000;  -17.474000;   11.082000
220.8;   50.250000;  -15.325000;   20.102000;   55.909000;   -0.399450;   27.206000
225.6;   43.388000;    0.512770;   36.246000;   39.993000;  -12.118000;   27.646000
230.4;   28.144000;   -8.078200;   33.278000;   29.194000;    1.482100;   42.889000
235.2;   12.811000;    2.362200;   46.871000;   14.322000;   -3.476300;   36.928000
240.0;   -0.129080;    1.332000;   38.201000;   -3.745300;    3.131500;   47.948000
244.8;  -20.592000;    3.723700;   46.232000;  -14.690000;    6.080600;   37.235000
249.6;  -28.553000;   10.497000;   33.906000;  -36.099000;    4.144500;   41.563000
254.4;  -49.633000;    4.353200;   34.377000;  -40.467000;   14.285000;   28.517000
259.2;  -50.609000;   17.240000;   21.247000;  -60.661000;    4.295400;   24.673000
264.0;  -66.335000;    4.016800;   13.311000;  -56.840000;   19.062000;   12.406000
268.8;  -58.982000;   19.789000;    3.034800;  -67.779000;    3.563900;    1.599100
273.6;  -66.544000;    2.906300;  -10.162000;  -58.380000;   19.436000;   -6.397000
278.4;  -54.664000;   17.932000;  -15.825000;  -61.203000;    2.074300;  -21.983000
283.2;  -50.487000;    1.115400;  -32.482000;  -46.476000;   15.235000;  -24.482000
288.0;  -35.458000;   11.625000;  -31.263000;  -37.214000;    0.177830;  -40.477000
292.8;  -22.043000;   -0.800490;  -46.080000;  -22.688000;    7.302000;  -36.177000
297.6;   -8.041400;    2.511600;  -38.890000;   -5.113200;   -1.643300;  -48.834000
302.4;   11.806000;   -2.324000;  -48.677000;    6.808600;   -2.427000;  -39.214000
307.2;   21.646000;   -7.152900;  -37.204000;   28.641000;   -2.817200;  -45.574000
312.0;   43.203000;   -3.082700;  -39.664000;   34.857000;  -11.347000;  -32.836000
316.8;   46.304000;  -14.878000;  -26.521000;   56.186000;   -3.113400;  -31.219000
