# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 2 mm
# Rotation step angle: 26.39999999999999°
# sensor pos #1: 0 mm
# sensor pos #2: 1 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;  -62.181000;   19.826000;   13.114000
 1; 26.4;  -34.991000;   12.070000;  -35.313000
 1; 52.8;   48.048000;  -14.716000;  -28.089000
 1; 79.2;   54.342000;  -17.133000;   24.635000
 1;105.6;  -29.723000;    9.615300;   36.674000
 1;132.0;  -67.406000;   21.942000;  -11.566000
 1;158.4;    5.074500;   -0.770620;  -42.162000
 1;184.8;   68.164000;  -21.280000;   -3.892600
 1;211.2;   17.881000;   -6.149100;   39.971000
 1;237.6;  -62.002000;   19.590000;   17.531000
 1;264.0;  -40.556000;   14.312000;  -33.824000
 1;290.4;   43.357000;  -13.084000;  -30.462000
 1;316.8;   57.147000;  -17.950000;   20.948000
 1;343.2;  -22.439000;    7.091400;   37.121000
 2;  0.0;  -66.066000;   20.448000;   -6.710700
 2; 26.4;   -3.711200;    2.050400;  -41.417000
 2; 52.8;   65.726000;  -19.230000;   -9.723200
 2; 79.2;   28.785000;   -8.537800;   37.683000
 2;105.6;  -57.273000;   17.466000;   23.842000
 2;132.0;  -50.514000;   16.348000;  -30.949000
 2;158.4;   38.418000;  -10.894000;  -35.609000
 2;184.8;   65.470000;  -19.352000;   17.007000
 2;211.2;  -16.013000;    4.649000;   40.387000
 2;237.6;  -68.501000;   21.260000;   -2.997600
 2;264.0;   -9.617100;    4.302500;  -41.563000
 2;290.4;   63.528000;  -18.367000;  -13.397000
 2;316.8;   33.350000;  -10.296000;   35.141000
 2;343.2;  -49.592000;   15.146000;   26.380000
