# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 0 mm
# sensor pos #2: 60 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;  112.560000;  -33.652000;   14.021000
 1;  1.2;  113.490000;  -33.229000;   18.321000
 1;  2.4;  113.960000;  -32.670000;   22.830000
 1;  3.6;  113.330000;  -31.913000;   27.481000
 1;  4.8;  110.650000;  -30.947000;   32.352000
 1;  6.0;  104.840000;  -29.729000;   37.175000
 1;  7.2;   95.841000;  -28.289000;   41.480000
 1;  8.4;   85.298000;  -26.702000;   44.990000
 1;  9.6;   75.786000;  -25.028000;   47.603000
 1; 10.8;   68.766000;  -23.290000;   49.633000
 1; 12.0;   65.150000;  -21.505000;   51.353000
 1; 13.2;   64.090000;  -19.701000;   53.154000
 1; 14.4;   63.850000;  -17.919000;   55.292000
 1; 15.6;   62.404000;  -16.108000;   57.819000
 1; 16.8;   57.650000;  -14.139000;   60.683000
 1; 18.0;   48.340000;  -12.022000;   63.460000
 1; 19.2;   35.278000;   -9.785000;   65.625000
 1; 20.4;   21.769000;   -7.536300;   66.838000
 1; 21.6;   10.783000;   -5.321700;   67.165000
 1; 22.8;    3.723900;   -3.075300;   66.875000
 1; 24.0;    0.513080;   -0.852760;   66.413000
 1; 25.2;   -0.718820;    1.356300;   66.216000
 1; 26.4;   -2.682300;    3.540000;   66.442000
 1; 27.6;   -7.598600;    5.700100;   66.921000
 1; 28.8;  -17.030000;    7.988300;   67.350000
 1; 30.0;  -30.321000;   10.341000;   67.190000
 1; 31.2;  -44.473000;   12.656000;   66.091000
 1; 32.4;  -55.791000;   14.857000;   64.062000
