# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 6 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;   93.039000;  -28.671000;   12.443000
 1;  2.4;   92.097000;  -27.682000;   19.721000
 1;  4.8;   87.998000;  -26.146000;   27.212000
 1;  7.2;   78.787000;  -23.936000;   34.404000
 1;  9.6;   67.282000;  -21.316000;   39.997000
 1; 12.0;   58.114000;  -18.368000;   44.302000
 1; 14.4;   51.854000;  -15.190000;   48.264000
 1; 16.8;   43.735000;  -11.851000;   52.257000
 1; 19.2;   29.803000;   -8.151000;   55.724000
 1; 21.6;   14.689000;   -4.371400;   57.510000
 1; 24.0;    3.524100;   -0.506620;   57.928000
 1; 26.4;   -4.991500;    3.345800;   57.998000
 1; 28.8;  -16.685000;    7.137000;   57.850000
 1; 31.2;  -32.678000;   11.029000;   56.444000
 1; 33.6;  -45.665000;   14.613000;   53.401000
 1; 36.0;  -53.359000;   17.969000;   49.481000
 1; 38.4;  -60.064000;   21.092000;   45.677000
 1; 40.8;  -70.459000;   23.917000;   41.709000
 1; 43.2;  -83.497000;   26.530000;   36.134000
 1; 45.6;  -92.387000;   28.554000;   29.059000
 1; 48.0;  -95.900000;   29.992000;   21.138000
 1; 50.4;  -96.361000;   30.893000;   13.441000
 1; 52.8;  -96.069000;   31.345000;    6.508100
 1; 55.2;  -95.986000;   31.466000;   -0.225640
 1; 57.6;  -96.307000;   31.252000;   -6.702200
 1; 60.0;  -96.661000;   30.695000;  -13.741000
 1; 62.4;  -95.769000;   29.643000;  -21.407000
 1; 64.8;  -91.224000;   28.075000;  -29.232000
 1; 67.2;  -80.634000;   25.797000;  -36.678000
 1; 69.6;  -67.889000;   23.117000;  -42.237000
 1; 72.0;  -58.472000;   20.098000;  -46.432000
 1; 74.4;  -52.471000;   16.874000;  -50.271000
 1; 76.8;  -43.919000;   13.409000;  -54.283000
 1; 79.2;  -28.852000;    9.557400;  -57.668000
 1; 81.6;  -13.267000;    5.625100;  -59.208000
 1; 84.0;   -2.583700;    1.621800;  -59.444000
 1; 86.4;    5.800600;   -2.355300;  -59.492000
 1; 88.8;   18.403000;   -6.273100;  -59.294000
 1; 91.2;   35.328000;  -10.254000;  -57.674000
 1; 93.6;   48.074000;  -13.899000;  -54.306000
 1; 96.0;   55.174000;  -17.300000;  -50.214000
 1; 98.4;   62.122000;  -20.431000;  -46.325000
 1;100.8;   73.412000;  -23.285000;  -42.138000
 1;103.2;   86.619000;  -25.889000;  -36.137000
 1;105.6;   94.628000;  -27.847000;  -28.727000
 1;108.0;   97.231000;  -29.210000;  -20.592000
 1;110.4;   97.208000;  -30.022000;  -12.895000
 1;112.8;   96.715000;  -30.400000;   -5.991200
 1;115.2;   96.540000;  -30.443000;    0.723340
 1;117.6;   96.781000;  -30.168000;    7.276800
 1;120.0;   96.954000;  -29.527000;   14.421000
 1;122.4;   95.554000;  -28.382000;   22.192000
 1;124.8;   89.989000;  -26.713000;   30.016000
 1;127.2;   78.382000;  -24.323000;   37.240000
 1;129.6;   65.674000;  -21.561000;   42.498000
 1;132.0;   56.822000;  -18.482000;   46.497000
 1;134.4;   50.660000;  -15.231000;   50.291000
 1;136.8;   41.164000;  -11.759000;   54.137000
 1;139.2;   25.475000;   -7.864900;   57.186000
 1;141.6;   10.651000;   -3.976700;   58.367000
 1;144.0;    0.675090;   -0.037998;   58.398000
 1;146.4;   -8.097500;    3.869700;   58.317000
 1;148.8;  -21.142000;    7.703800;   57.847000
 1;151.2;  -37.377000;   11.592000;   55.846000
 1;153.6;  -48.867000;   15.109000;   52.297000
